x,y,z,t,u,v,w,p,d,dx,dy
0.0040451,-0.002939,0.05,0.005,2e-10,4e-10,0.0,-0.7863453,0.0,0.0,0.0
-0.0049742352,0.0004914004,-0.0,0.005,0.0,0.0,0.0,-1.408618,0.0,0.0,0.0
-0.0049538438,0.0006459055,0.0003414918,0.005,7.68227e-05,-2.58924e-05,0.0,7.584534,1.0304562181318033e-07,1.0160000130099434e-07,1.7199999646777542e-08
-0.0049742352,-0.0004914003,0.05,0.005,0.0,0.0,0.0,-0.5166134,0.0,0.0,0.0
-0.0049534935,-0.0006485927,0.0496587296,0.005,1.58556e-05,1.9918e-06,0.0,-1.379625,1.7253984907483755e-08,1.7099999638503505e-08,2.2999999682582484e-09
0.0037157,0.0033457,0.0,0.005,0.0,0.0,0.0,-4.018475,0.0,0.0,0.0
0.0037168283,0.0033441829,0.0003676113,0.005,7.32272e-05,7.6233e-06,0.0,12.19992,1.3214723537657846e-07,-1.1600000249245568e-07,-6.329999990839497e-08
0.0037157,-0.0033457,0.05,0.005,0.0,0.0,0.0,-0.6240894,0.0,0.0,0.0
0.0037169299,-0.0033442336,0.0496323866,0.005,-1.44231e-05,1.26977e-05,0.0,-1.500036,1.905911872768229e-08,-1.4300000295008886e-08,1.2600000154350255e-08
0.0033457,-0.0037157,0.0,0.005,0.0,0.0,0.0,8.860351,0.0,0.0,0.0
0.0033439391,-0.0037171059,0.0003514996,0.005,-0.0001005522,-7.7726e-06,0.0,21.49035,1.1208755523739455e-07,-6.089999970981808e-08,9.410000245679839e-08
0.0033457,0.0037157,0.05,0.005,0.0,0.0,0.0,-0.7266513,0.0,0.0,0.0
0.0033440838,0.0037170793,0.0496317803,0.005,-1.30056e-05,-1.47798e-05,0.0,-1.59761,1.8843035576310285e-08,-1.2500000146076218e-08,-1.4100000278460811e-08
-0.0037157,0.0033457,0.05,0.005,0.0,0.0,0.0,-0.8394324,0.0,0.0,0.0
-0.0037206863,0.0033400876,0.0496425,0.005,1.35122e-05,-1.26604e-05,0.0,-1.643383,1.847836550439297e-08,1.3700000245364663e-08,-1.240000013780218e-08
-0.0037157,-0.0033457,0.0,0.005,0.0,0.0,0.0,10.472,0.0,0.0,0.0
-0.0037207843,-0.0033397517,0.0003765872,0.005,7.0353e-05,5.19921e-05,0.0,19.20208,1.5194198965673422e-07,9.459999716909806e-08,1.1889999740333224e-07
-0.0033457,-0.0037157,0.05,0.005,0.0,0.0,0.0,-0.9645047,0.0,0.0,0.0
-0.0033401031,-0.0037206291,0.0496267839,0.005,1.19836e-05,1.4328e-05,0.0,-1.781647,1.9266551021246414e-08,1.2800000170898329e-08,1.4400000303282923e-08
-0.0033457,0.0037157,0.0,0.005,0.0,0.0,0.0,14.02819,0.0,0.0,0.0
-0.0033402724,0.0037204179,0.0003770125,0.005,7.58234e-05,-3.88e-08,0.0,28.10883,4.322337332496318e-08,2.550000033352262e-08,-3.490000111128211e-08
-0.0005225731,0.0049726,0.05,0.005,0.0,0.0,0.0,-0.6748145,0.0,0.0,0.0
-0.0005312594,0.0049712872,0.0496200664,0.005,1.8652e-06,-1.96029e-05,0.0,-1.575522,1.93932976344513e-08,1.8999999351621e-09,-1.929999982053232e-08
-0.0005225731,-0.0049726,0.0,0.005,0.0,0.0,0.0,11.83598,0.0,0.0,0.0
-0.0005306514,-0.004971179,0.0003752727,0.005,7.54338e-05,-2.73942e-05,0.0,20.14734,1.558742184215589e-07,1.7399999663325616e-08,1.5489999327655823e-07
-0.0010395,0.0048907,0.05,0.005,0.0,0.0,0.0,-1.161184,0.0,0.0,0.0
-0.0010395,-0.0048907,0.0,0.005,0.0,0.0,0.0,11.7642,0.0,0.0,0.0
-0.0048984347,0.0009912543,-0.0,0.005,0.0,0.0,0.0,22.58512,0.0,0.0,0.0
