x,y,z,t,u,v,w,p,d,dx,dy,dz
-0.0037207,0.0033401,0.0496425,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0037157,-0.0033457,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0037208789,-0.0033398706,0.0003765872,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0033457,-0.0037157,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0033401159,-0.0037206435,0.0496267839,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0033457,0.0037157,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0033402979,0.0037204528,0.0003770125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0005225731,0.0049726,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0005312613,0.0049713065,0.0496200664,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0005225731,-0.0049726,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0005306688,-0.0049713339,0.0003752727,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0010395,0.0048907,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0010395,-0.0048907,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0048984347,0.0009912543,-0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.004897695,-0.0009959288,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0049713721,0.0005258274,0.0495937659,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0049695682,-0.0005372261,0.0004075724,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0040361069,0.002946441,0.0489337976,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0043753106,0.0024109579,0.048444834,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0044223533,0.0023253657,0.0488030975,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0029421329,-0.0040396154,0.0489434548,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0023971259,-0.0043822668,0.048451881,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0023190322,-0.0044254692,0.0488083979,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.002949582,0.0040335864,0.0010667621,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0024113374,0.0043750821,0.0015480294,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0023168238,0.0044265558,0.0011891481,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0040391618,-0.0029426663,0.0010610446,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0043800432,-0.0024015377,0.0015494056,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0044262256,-0.0023174939,0.0011928131,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0004850087,-0.0049756758,0.0496053582,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0004842646,0.0049756981,0.0003887455,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0028544873,-0.0041017943,0.0016192457,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0024634265,-0.0043486416,0.0020376674,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0023757444,-0.0043975901,0.0016495307,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.004104381,0.0028503757,0.0016191613,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0043476732,0.0024653405,0.0020375613,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0043979788,0.002374954,0.0016496728,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0028567611,0.0041003525,0.0483799178,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0024639984,0.0043483527,0.0479622748,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0023698254,0.0044005013,0.0483500472,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
