x,y,z,t,u_scaled,v_scaled,w_scaled,p_scaled,d,dx,dy
0.0020338,-0.0045677,0.05,0.01,0.0,0.0,0.0,83.32987,0.0,0.0,0.0
0.0020414227,-0.0045663044,0.0496573361,0.01,0.0007928822,-0.0017410758,0.0,157.4649,1.9514184259605827e-06,8.412000056523539e-07,-1.7608000462132622e-06
0.0045677,0.0020337,0.05,0.01,0.0,0.0,0.0,70.64613,0.0,0.0,0.0
0.004567441,0.0020388257,0.0496574549,0.01,0.001662883,0.0007537163,0.0,148.094,1.9217607132304693e-06,1.7600999626665725e-06,7.715000265307026e-07
0.0045677,-0.0020337,0.0,0.01,0.0,0.0,0.0,3.739896,0.0,0.0,0.0
0.0045656283,-0.0020382034,0.0003407161,0.01,-1.275e-05,1.55656e-05,0.0,5.783491,3.865294218030613e-08,1.8199999729517913e-08,3.410000104508981e-08
0.0020338,0.0045677,0.0,0.01,0.0,0.0,0.0,0.7477685,0.0,0.0,0.0
0.0020416155,0.0045640679,0.0003411614,0.01,3.91948e-05,-7.3004e-06,0.0,4.001084,4.907830586375894e-08,3.519999935974738e-08,3.419999927700701e-08
0.0048908,0.0010395,0.0,0.01,0.0,0.0,0.0,4.386028,0.0,0.0,0.0
0.0047553,0.001545,0.0,0.01,-3e-09,-1.4e-09,0.0,1.513739,0.0,0.0,0.0
0.0047551368,0.001545648,0.0003261584,0.01,5.29499e-05,3.62419e-05,0.0,4.764061,6.048338718755986e-08,3.6799999492131974e-08,4.800000041882413e-08
0.0048908,-0.0010395,0.05,0.01,0.0,0.0,0.0,143.5201,0.0,0.0,0.0
0.0047553,-0.0015449999,0.05,0.01,9e-09,4.98e-08,0.0,78.38245,1.000000013351432e-10,0.0,1.000000013351432e-10
0.0047570854,-0.0015460775,0.0496542505,0.01,0.001771068,-0.0006105947,0.0,153.7949,2.0386589767440455e-06,1.9332001102156937e-06,-6.47200010917004e-07
0.0010394999,0.0048907,0.05,0.01,-5.47e-08,4.5e-09,0.0,136.9101,1.000000013351432e-10,-1.000000013351432e-10,0.0
0.0015449999,0.0047553,0.05,0.01,-5.08e-08,7.7e-09,0.0,92.35221,1.000000013351432e-10,-1.000000013351432e-10,0.0
0.0015458068,0.0047570853,0.0496591719,0.01,0.0005850628,0.0017426143,0.0,167.98,1.9518583940225653e-06,6.126999778643949e-07,1.8532000467530452e-06
0.0010395,-0.0048907,0.0,0.01,-5e-10,-4.4e-09,0.0,1.68683,0.0,0.0,0.0
0.001545,-0.0047553,0.0,0.01,-6e-10,-3.4e-09,0.0,1.931469,0.0,0.0,0.0
0.0015452967,-0.0047551794,0.0003262385,0.01,-5.00849e-05,9.1114e-06,0.0,5.089721,2.0862646721298006e-08,-3.3000000509986194e-09,2.0599999928094803e-08
0.0020337,0.0045677,0.05,0.01,0.0,0.0,0.0,54.0154,0.0,0.0,0.0
0.0020337,-0.0045677,0.0,0.01,0.0,0.0,0.0,6.353869,0.0,0.0,0.0
0.0045678,0.0020336,0.0,0.01,0.0,0.0,0.0,1.389903,0.0,0.0,0.0
0.0045678,-0.0020336,0.05,0.01,0.0,0.0,0.0,70.38327,0.0,0.0,0.0
-0.0049726,0.0005226478,0.05,0.01,1e-10,2.9e-09,0.0,68.61006,0.0,0.0,0.0
-0.0049744602,0.0005228121,0.0496723,0.01,-0.0017433908,0.0002040402,0.0,147.3581,1.8717150851443876e-06,-1.8601999727252405e-06,2.0730000471758103e-07
-0.005,-0.0,0.05,0.01,0.0,-0.0,0.0,49.23492,0.0,0.0,-0.0
-0.0049726,-0.0005226478,0.0,0.01,-0.0,-0.0,0.0,1.158522,0.0,0.0,0.0
-0.0049726426,-0.0005225782,0.0003277039,0.01,-3.6234e-06,-3.73861e-05,0.0,4.145264,5.022270244126048e-08,-4.2599999972026126e-08,2.660000042453703e-08
-0.005,-0.0,0.0,0.01,0.0,0.0,0.0,-0.9068261,0.0,0.0,-0.0
0.005,0.0,0.0,0.01,0.0,0.0,0.0,2.43173,0.0,0.0,0.0
0.0049726,0.0005226478,0.0,0.01,0.0,0.0,0.0,1.695788,0.0,0.0,0.0
0.0049706401,0.0005357824,0.0003362849,0.01,3.23477e-05,2.69149e-05,0.0,2.26393,5.4555108874865255e-08,3.010000071412833e-08,4.549999843561636e-08
0.005,0.0,0.05,0.01,0.0,0.0,0.0,126.953,0.0,0.0,0.0
0.0049726,-0.0005226478,0.05,0.01,1e-10,-3.1e-09,0.0,123.8139,0.0,0.0,0.0
0.004974543,-0.0005226814,0.0496561749,0.01,0.0018062228,-0.0002277693,0.0,134.3958,1.9786020857281983e-06,1.9633000647445442e-06,-2.456000061101804e-07
-0.000522642,-0.0049726,0.05,0.01,2e-10,-0.0,0.0,89.42973,0.0,0.0,0.0
-0.0005182917,-0.0049748504,0.0496511633,0.01,-0.0001341228,-0.0018824294,0.0,166.2936,1.9660230918816524e-06,-1.8709999949351186e-07,-1.957100039362558e-06
-0.000522642,0.0049726,0.0,0.01,0.0,-0.0,0.0,0.8398664,0.0,0.0,0.0
-0.0005179768,0.0049729002,0.0003527405,0.01,5.4346e-06,-2.62438e-05,0.0,4.069344,2.0359028241045962e-08,1.549999950611891e-08,-1.3200000203994477e-08
-0.0025001,0.0043301,0.05,0.01,0.0,0.0,0.0,128.4713,0.0,0.0,0.0
-0.0043301,-0.0025001,0.05,0.01,0.0,0.0,0.0,37.41007,0.0,0.0,0.0
-0.0043301,0.0025001,0.0,0.01,0.0,0.0,0.0,7.940455,0.0,0.0,0.0
-0.0025001,-0.0043301,0.0,0.01,0.0,0.0,0.0,10.66007,0.0,0.0,0.0
0.000522642,0.0049726,0.05,0.01,-2e-10,0.0,0.0,64.38128,0.0,0.0,0.0
0.0005177849,0.0049750407,0.0496468993,0.01,0.0002041765,0.001852083,0.0,137.9958,1.995410002564313e-06,2.1859999321804935e-07,1.983399897653726e-06
0.000522642,-0.0049726,0.0,0.01,0.0,0.0,0.0,1.331946,0.0,0.0,0.0
